Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
148.21652214,-3.16052460670471,0.695618629455566,2.21746563911438,,,,,,,
148.221445629,-3.08927631378174,0.71247673034668,2.10167908668518,,,,,,,
148.226368338,-2.90869665145874,0.712351799011231,1.90539717674255,,,,,,,
148.231291879,-2.55425643920898,0.690572738647461,1.60693335533142,,,,,,,
148.236216254,-2.16462874412537,0.666454315185547,1.20115780830383,,,,,,,
148.241139744,-1.69674575328827,0.685663223266602,0.795108795166016,,,,,,,
148.246062452,-1.23403918743134,0.62890625,0.344786882400513,,,,,,,
148.250985994,-0.869631290435791,0.498866081237793,0.0457272529602051,,,,,,,
148.255910369,-0.653434038162231,0.360264778137207,-0.0307412147521973,,,,,,,
148.260833858,-0.534817159175873,0.294365882873535,0.0793976783752441,,,,,,,
148.265756567,-0.578200817108154,0.205382347106934,0.165655374526978,,,,,,,
148.270680108,-0.649497985839844,0.162659645080566,0.108614444732666,,,,,,,
148.275604483,-0.796636164188385,-0.063389778137207,-0.0222547054290772,,,,,,,
148.280527973,-0.799607694149017,-0.305150032043457,-0.219680786132813,,,,,,,
148.285450681,-0.792545795440674,-0.586560249328613,-0.30168890953064,,,,,,,
148.290374223,-0.789859771728516,-0.831166744232178,-0.315877437591553,,,,,,,
148.295298598,-0.712884306907654,-1.04866361618042,-0.40314507484436,,,,,,,
148.300222088,-0.621615946292877,-1.31810903549194,-0.417167901992798,,,,,,,
148.305144796,-0.528027057647705,-1.56547689437866,-0.314516544342041,,,,,,,
148.310068338,-0.439417570829392,-1.84118413925171,-0.211977481842041,,,,,,,
148.314992713,-0.339204609394074,-2.20273065567017,-0.168908357620239,,,,,,,
148.319916202,-0.227422669529915,-2.54957008361816,-0.235495328903198,,,,,,,
148.324838963,-0.137668237090111,-2.8289909362793,-0.404797792434692,,,,,,,
